                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8417,                 5.3773,                 4.2995,                0.00033,                0.02357,                0.00021,                  6e-05,                 3.8331,                 5.1843,                 4.0694,               0.070769,              0.0032479,              0.0032479
                      1,                 3.8277,                 5.0873,                 4.1259,                0.00027,                0.01337,                0.00016,                  5e-05,                 3.8083,                 5.1302,                 4.0109,               0.040118,              0.0059297,              0.0059297
                      2,                 3.6162,                 4.7602,                 3.9161,                 0.0023,                0.09079,                0.01144,                0.00274,                 3.5133,                 4.7951,                 3.8411,              0.0088062,              0.0079515,              0.0079515
                      3,                 3.2742,                 4.4916,                 3.5943,                0.00313,                0.06173,                0.00281,                0.00093,                 3.4843,                 24.335,                 5.1538,                0.00703,                0.00703,                0.00703
                      4,                 3.0207,                 4.3825,                 3.3062,                0.43727,                0.03167,                0.00493,                0.00169,                 2.9969,                  158.1,                 4.7057,                0.00703,                0.00703,                0.00703
                      5,                 2.9304,                 4.1021,                 3.1104,                0.87431,                0.02885,                0.02025,                0.00665,                 2.9554,                 10.565,                 3.3811,                0.00604,                0.00604,                0.00604
                      6,                 2.8567,                 3.9861,                  2.941,                0.61415,                0.03621,                0.02741,                0.01049,                 2.8856,                 8.8583,                 3.0929,                0.00505,                0.00505,                0.00505
                      7,                 2.7803,                 3.8329,                 2.8534,                0.64863,                  0.061,                0.05756,                0.02055,                 2.7777,                 4.0839,                 2.8792,                0.00406,                0.00406,                0.00406
                      8,                 2.7312,                 3.6616,                 2.7362,                 0.1617,                0.08134,                0.06189,                 0.0209,                 2.7293,                 3.9291,                 2.7921,                0.00307,                0.00307,                0.00307
                      9,                 2.6655,                 3.5633,                 2.7153,                0.41786,                0.10312,                0.08302,                 0.0304,                 2.6249,                 3.7816,                 2.6962,                0.00208,                0.00208,                0.00208
