                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9312,                 5.0081,                 4.2481,                0.00031,                0.01794,                 0.0002,                  6e-05,                 3.8194,                 5.1488,                 4.0386,               0.070769,              0.0032479,              0.0032479
                      1,                   3.96,                 4.6861,                 4.0442,                0.00031,                0.01794,                 0.0002,                  6e-05,                 3.7845,                 5.0606,                 3.9449,               0.040704,               0.006516,               0.006516
                      2,                 3.6968,                 4.3982,                 3.7816,                0.00212,                0.07331,                0.00392,                  0.001,                 3.5866,                 4.8044,                 3.7736,               0.010573,              0.0097182,              0.0097182
                      3,                 3.2557,                   4.21,                 3.3607,                0.30616,                0.03156,                0.00883,                0.00305,                 3.0508,                 5.0552,                 3.6673,               0.009703,               0.009703,               0.009703
                      4,                 3.0747,                 4.0192,                 3.1373,                0.01651,                0.19465,                0.00966,                0.00315,                 2.9902,                 342.75,                 4.7546,               0.009703,               0.009703,               0.009703
                      5,                 2.9499,                 3.7693,                 2.9252,                0.04468,                0.08007,                0.02877,                0.00973,                 2.7122,                 5.6084,                 3.0583,               0.009604,               0.009604,               0.009604
                      6,                 2.8827,                 3.6051,                 2.7969,                0.10441,                0.06669,                0.02834,                0.01002,                 2.8439,                 5.4118,                 2.9728,               0.009505,               0.009505,               0.009505
                      7,                 2.7795,                 3.4116,                 2.6697,                0.55106,                 0.0755,                0.06057,                 0.0238,                 2.6414,                 3.8457,                 2.6911,               0.009406,               0.009406,               0.009406
                      8,                 2.7015,                 3.2651,                 2.5426,                0.09489,                0.12265,                0.08612,                0.03493,                 2.5709,                 3.8327,                 2.5886,               0.009307,               0.009307,               0.009307
                      9,                 2.6523,                  3.177,                 2.5107,                  0.254,                0.11643,                0.08334,                0.02953,                 2.5241,                  4.516,                  2.477,               0.009208,               0.009208,               0.009208
                     10,                 2.5975,                 3.0332,                 2.4206,                0.21635,                0.16736,                0.14027,                 0.0514,                 2.3873,                  3.328,                 2.3959,               0.009109,               0.009109,               0.009109
                     11,                 2.5069,                 2.9707,                 2.3343,                0.23537,                 0.1607,                0.13548,                0.05359,                 2.3854,                 3.3404,                 2.3866,                0.00901,                0.00901,                0.00901
                     12,                 2.4395,                  2.774,                 2.2615,                0.18276,                0.13674,                0.12044,                0.04998,                 2.3282,                 3.1961,                 2.3896,               0.008911,               0.008911,               0.008911
                     13,                 2.4517,                 2.8036,                 2.2838,                0.33027,                 0.3981,                 0.2365,                 0.1081,                  2.226,                 3.1033,                 2.2354,               0.008812,               0.008812,               0.008812
                     14,                 2.3431,                 2.6623,                 2.1985,                 0.3435,                0.25762,                0.23556,                0.10908,                 2.3111,                 2.9292,                 2.2465,               0.008713,               0.008713,               0.008713
                     15,                 2.3016,                  2.605,                 2.1815,                0.36487,                 0.3885,                0.28086,                0.13494,                 2.1679,                 3.2635,                  2.193,               0.008614,               0.008614,               0.008614
                     16,                 2.2852,                 2.5521,                 2.1523,                0.44867,                0.31583,                0.27606,                0.12634,                 2.1783,                 2.7019,                 2.2174,               0.008515,               0.008515,               0.008515
                     17,                 2.2383,                 2.4777,                 2.1223,                0.53399,                0.38914,                0.35734,                0.16775,                 2.1517,                 2.5121,                 2.1385,               0.008416,               0.008416,               0.008416
                     18,                 2.1968,                 2.4014,                 2.0785,                 0.4193,                0.29365,                0.30038,                 0.1404,                 2.1412,                 2.7196,                 2.1309,               0.008317,               0.008317,               0.008317
                     19,                 2.2021,                 2.3891,                 2.0858,                0.40149,                0.37911,                 0.3204,                0.14695,                 2.0987,                 2.6408,                 2.0823,               0.008218,               0.008218,               0.008218
                     20,                 2.1601,                 2.3581,                 2.0811,                0.44595,                0.44347,                0.35831,                0.17011,                 2.1204,                 2.6589,                 2.1218,               0.008119,               0.008119,               0.008119
                     21,                 2.1252,                 2.2793,                 2.0071,                0.43941,                 0.3361,                0.31526,                0.14572,                  2.095,                 2.4499,                 2.0944,                0.00802,                0.00802,                0.00802
                     22,                  2.093,                 2.2308,                 2.0059,                0.57089,                0.43375,                0.40114,                0.20619,                 1.9912,                 2.6565,                 2.0234,               0.007921,               0.007921,               0.007921
                     23,                  2.041,                 2.0934,                 1.9373,                0.58739,                0.40659,                0.40327,                0.18938,                 2.0387,                 2.2635,                 2.0336,               0.007822,               0.007822,               0.007822
                     24,                 2.0115,                 2.1134,                  1.908,                 0.6072,                0.41526,                0.40321,                0.19135,                 2.0082,                 2.2867,                 2.0026,               0.007723,               0.007723,               0.007723
                     25,                 2.0026,                 2.0577,                 1.9421,                0.54189,                0.45386,                0.39648,                0.20342,                  2.012,                 2.2732,                  2.011,               0.007624,               0.007624,               0.007624
                     26,                 1.9943,                 2.0382,                 1.8775,                0.47712,                 0.4394,                 0.3868,                0.19107,                 2.0051,                 2.2954,                 1.9763,               0.007525,               0.007525,               0.007525
                     27,                 2.0128,                 2.0123,                 1.8967,                0.55676,                0.40238,                 0.3858,                0.20076,                 1.9456,                 2.3664,                  1.947,               0.007426,               0.007426,               0.007426
                     28,                 1.9762,                 1.9792,                  1.858,                0.54266,                0.54019,                0.48019,                0.25325,                 1.8945,                 2.3012,                 1.9212,               0.007327,               0.007327,               0.007327
                     29,                 1.9251,                  1.936,                 1.8341,                0.58603,                0.47907,                0.46694,                0.24802,                 1.9291,                 2.0826,                 1.9364,               0.007228,               0.007228,               0.007228
                     30,                 1.9455,                 1.9177,                 1.8521,                0.55591,                  0.453,                0.43489,                0.23355,                 1.8824,                 2.1336,                 1.8954,               0.007129,               0.007129,               0.007129
                     31,                 1.9296,                 1.8883,                 1.8419,                0.50777,                0.51337,                0.45499,                0.24509,                 1.8637,                 2.3136,                 1.8743,                0.00703,                0.00703,                0.00703
                     32,                 1.9173,                 1.8408,                 1.8227,                0.54204,                0.52043,                0.45091,                0.24317,                 1.8649,                 2.1463,                 1.8711,               0.006931,               0.006931,               0.006931
                     33,                 1.9051,                 1.8705,                  1.819,                 0.6106,                0.43331,                 0.4549,                0.23629,                 1.9077,                 2.2919,                 1.9108,               0.006832,               0.006832,               0.006832
                     34,                 1.8587,                 1.8214,                 1.7691,                0.57173,                0.47432,                0.44766,                0.23835,                 1.9349,                 2.1206,                 1.9201,               0.006733,               0.006733,               0.006733
                     35,                 1.8597,                 1.7693,                 1.7666,                0.57853,                0.52029,                0.48916,                0.26263,                 1.9033,                 1.8937,                 1.8846,               0.006634,               0.006634,               0.006634
                     36,                 1.8302,                 1.7431,                 1.7569,                0.55365,                0.50881,                0.48028,                0.25457,                 1.8571,                  1.974,                 1.8836,               0.006535,               0.006535,               0.006535
                     37,                 1.8151,                 1.7166,                   1.73,                0.56496,                 0.4934,                0.44896,                 0.2255,                  1.868,                 2.0902,                 1.8769,               0.006436,               0.006436,               0.006436
                     38,                 1.8093,                 1.7019,                 1.7336,                 0.5559,                0.53713,                0.47681,                0.26469,                 1.8318,                 1.8283,                  1.847,               0.006337,               0.006337,               0.006337
                     39,                 1.7983,                 1.6609,                  1.721,                0.58086,                 0.5109,                0.48553,                  0.268,                 1.8261,                 2.1556,                 1.8469,               0.006238,               0.006238,               0.006238
                     40,                 1.7957,                 1.6543,                 1.7265,                 0.4978,                0.53433,                0.46108,                0.25375,                 1.8654,                 2.1492,                 1.8827,               0.006139,               0.006139,               0.006139
                     41,                 1.7704,                 1.6246,                 1.6763,                0.57801,                0.56286,                0.48224,                0.25934,                 1.8201,                 1.9398,                 1.8284,                0.00604,                0.00604,                0.00604
                     42,                 1.7624,                 1.5918,                 1.6794,                0.60288,                0.48861,                0.51688,                0.27224,                 1.8127,                 1.8117,                 1.8367,               0.005941,               0.005941,               0.005941
                     43,                 1.7398,                 1.6097,                 1.6699,                0.62319,                0.52837,                0.50808,                0.27485,                 1.7966,                 1.8322,                  1.816,               0.005842,               0.005842,               0.005842
                     44,                 1.7272,                 1.5984,                 1.6921,                  0.541,                0.57367,                0.49882,                0.27454,                 1.8041,                  1.808,                 1.8153,               0.005743,               0.005743,               0.005743
